specialty_clean,specialty,category,match_method,match_score
orth orthodontics,Orth Orthodontics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
clinicalpsychology,Clinicalpsychology,Mental Health & Behavioral,normalized_exact,1.000
proctologysurgery,Proctologysurgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
sexMedicine,Sex Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
strokeCentre,Stroke Centre,Neurology & Neurosurgery,normalized_exact,1.000
brainSpineSurgery,Brain Spine Surgery,Neurology & Neurosurgery,normalized_exact,1.000
Dental,Dental,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Palliative care,Palliative Care,Geriatrics & Palliative Care,normalized_exact,1.000
Interventional Radiology,Interventional Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
dentalAndMaxillofacial,Dental and Maxillofacial,"Dental, Oral & Maxillofacial",normalized_exact,1.000
painFreeDentistry,Pain Free Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
preventiveCareForSeniors,Preventive Care for Seniors,Other / Needs Review,normalized_exact,1.000
oralAndCraniomaxillofacialSurgery,Oral and Craniomaxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
opthalmology,Opthalmology,Ophthalmology,normalized_exact,1.000
Routine Microbiology,Routine Microbiology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
routineMicrobiology,Routine Microbiology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
molecularLaboratory,Molecular Laboratory,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
generalAndLaparoscopicSurgery,General and Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
generalPathology,General Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
occuloplastyAndAdnexa,Occuloplasty and Adnexa,Ophthalmology,normalized_exact,1.000
ORTHOPAEDICS,Orthopedics,"Orthopedics, Spine & Sports Medicine",manual,1.000
GASTROENTEROLOGIST,Gastroenterologist,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
dieteticsAndWeightLoss,Dietetics and Weight Loss,Nutrition & Dietetics,normalized_exact,1.000
cardiacInvasiveProcedures,Cardiac Invasive Procedures,Cardiology & Cardiothoracic,normalized_exact,1.000
benignAndMalignantHematology,Benign and Malignant Hematology,Oncology & Hematology,normalized_exact,1.000
lowVisionAid,Low Vision Aid,Ophthalmology,normalized_exact,1.000
oralHistology,Oral Histology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
mycology,Mycology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
Cardiothoracic Surgery,Cardiothoracic Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
diagnosticCardiology,Diagnostic Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
breastPathology,Breast Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
specialCareDentistry,Special Care Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
oculoplastyAndOncology,Oculoplasty and Oncology,Oncology & Hematology,normalized_exact,1.000
lowVisionAids,Low Vision Aids,Ophthalmology,normalized_exact,1.000
Invisalign,Invisalign,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Neuromuscular Orthodontics,Neuromuscular Orthodontics,Neurology & Neurosurgery,normalized_exact,1.000
Dentofacial Orthopedics,Dentofacial Orthopedics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
oralMaxillofacial,Oral Maxillofacial,"Dental, Oral & Maxillofacial",normalized_exact,1.000
laparoscopySurgery,Laparoscopy Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Corneal Cross Linking,Corneal Cross Linking,Ophthalmology,normalized_exact,1.000
cancerRehabilitationCentre,Cancer Rehabilitation Centre,Oncology & Hematology,normalized_exact,1.000
Karyotyping,Karyotyping,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
dnaSexing,DNA Sexing,Genetics & Reproductive Genomics,normalized_exact,1.000
karyotyping,Karyotyping,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
Plastic  Reconstructive surgery,Plastic Reconstructive Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
medicalPhysics,Medical Physics,Other / Needs Review,normalized_exact,1.000
precisionOncology,Precision Oncology,Oncology & Hematology,normalized_exact,1.000
dentalOncology,Dental Oncology,Oncology & Hematology,normalized_exact,1.000
allergist,Allergist,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
nutritionist,Nutritionist,Nutrition & Dietetics,normalized_exact,1.000
Pulmonologist,Pulmonologist,Pulmonology & Respiratory,normalized_exact,1.000
implants,Implants,"Dental, Oral & Maxillofacial",normalized_exact,1.000
gynecologyObstetricSurgery,Gynecology Obstetric Surgery,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
psychiatrist,Psychiatrist,Mental Health & Behavioral,normalized_exact,1.000
pediatricPlasticSurgeryAndNeurosurgery,Pediatric Plastic Surgery and Neurosurgery,Pediatrics & Neonatology,normalized_exact,1.000
orthopedicOncologist,Orthopedic Oncologist,Oncology & Hematology,normalized_exact,1.000
maxilloFacialProsthetics,Maxillo Facial Prosthetics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
geriatricOncology,Geriatric Oncology,Oncology & Hematology,normalized_exact,1.000
fasciomaxillarySurgery,Fasciomaxillary Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
cosmeticFillings,Cosmetic Fillings,"Dental, Oral & Maxillofacial",normalized_exact,1.000
urodynamicLab,Urodynamic Lab,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
oralSubmucousFibrosis,Oral Submucous Fibrosis,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Ear Reconstruction,Ear Reconstruction,Other / Needs Review,normalized_exact,1.000
Nerve Tumor Treatment,Nerve Tumor Treatment,Oncology & Hematology,normalized_exact,1.000
Genital Surgeries,Genital Surgeries,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Children Eye care,Children Eye Care,Pediatrics & Neonatology,normalized_exact,1.000
Computer Vision Syndrome,Computer Vision Syndrome,Ophthalmology,normalized_exact,1.000
asthmaAndAllergy,Asthma and Allergy,Pulmonology & Respiratory,normalized_exact,1.000
Dentures,Dentures,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Fluoride Application  Sealants,Fluoride Application Sealants,Other / Needs Review,normalized_exact,1.000
anxietyAndDepression,Anxiety and Depression,Mental Health & Behavioral,normalized_exact,1.000
treatmentOfMigraine,Treatment of Migraine,Other / Needs Review,normalized_exact,1.000
Laparoscopic Surgery,Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
PRK Surgery,Prk Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
eyeProsthesis,Eye Prosthesis,Ophthalmology,normalized_exact,1.000
gumSurgery,Gum Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Laser Peel Treatment,Laser Peel Treatment,Other / Needs Review,normalized_exact,1.000
PRP Therapy,Prp Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Nail Problem,Nail Problem,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
pediatricNutritionExpert,Pediatric Nutrition Expert,Pediatrics & Neonatology,normalized_exact,1.000
Chest Medicine,Chest Medicine,Pulmonology & Respiratory,normalized_exact,1.000
stereotacticRadiosurgery,Stereotactic Radiosurgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
roboticKneeReplacement,Robotic Knee Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
ophthalmicPlasticAndFacialAestheticSurgery,Ophthalmic Plastic and Facial Aesthetic Surgery,Ophthalmology,normalized_exact,1.000
prpTherapy,Prp Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Migraine Management,Migraine Management,Other / Needs Review,normalized_exact,1.000
Preventive Dentistry,Preventive Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
gastroEnterologyAndLaproscopicSurgery,Gastro Enterology and Laproscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Hematology  Hemato Oncology,Hematology Hemato Oncology,Oncology & Hematology,normalized_exact,1.000
pediatricOphthalmologyAndSquint,Pediatric Ophthalmology and Squint,Pediatrics & Neonatology,normalized_exact,1.000
Dentistry  Maxillofacial Surgery,Dentistry Maxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Knee Surgery,Knee Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Orthopedics  Traumatology,Orthopedics Traumatology,"Emergency, Trauma & Critical Care",normalized_exact,1.000
laserEyeSurgery,Laser Eye Surgery,Ophthalmology,normalized_exact,1.000
gynecologicalOncology,Gynecological Oncology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
peripheralNerveNeurosurgery,Peripheral Nerve Neurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
cardiacSurgery,Cardiac Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
brainInjuryNeurology,Brain Injury Neurology,Neurology & Neurosurgery,normalized_exact,1.000
nuclearMedicineAndMolecularImaging,Nuclear Medicine and Molecular Imaging,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
reconstructiveSurgery,Reconstructive Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
orofacialPain,Orofacial Pain,Anesthesia & Pain Medicine,normalized_exact,1.000
palliativeMedicine,Palliative Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
urogynecologyAndReconstructivePelvisSurgery,Urogynecology and Reconstructive Pelvis Surgery,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
geriatricsInternalMedicine,Geriatrics Internal Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
orthopaedics,Orthopedics,"Orthopedics, Spine & Sports Medicine",manual,1.000
pediatricRadiology,Pediatric Radiology,Pediatrics & Neonatology,normalized_exact,1.000
allergyAndImmunology,Allergy and Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
conservativeDentistry,Conservative Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
physiotherapy,Physiotherapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
aestheticAndCosmeticSurgery,Aesthetic and Cosmetic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
nutritionAndDietary,Nutrition and Dietary,Nutrition & Dietetics,normalized_exact,1.000
headacheMedicine,Headache Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
clinicalNeurophysiology,Clinical Neurophysiology,Neurology & Neurosurgery,normalized_exact,1.000
intensiveCareMedicine,Intensive Care Medicine,"Emergency, Trauma & Critical Care",normalized_exact,1.000
genitourinaryReconstructiveSurgery,Genitourinary Reconstructive Surgery,"Urology, Nephrology & Transplant",normalized_exact,1.000
addictionInternalMedicine,Addiction Internal Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
diabeticRetinopathy,Diabetic Retinopathy,Ophthalmology,normalized_exact,1.000
neurosurgerySpineSurgery,Neurosurgery Spine Surgery,Neurology & Neurosurgery,normalized_exact,1.000
Anaesthesiology,Anesthesiology,Anesthesia & Pain Medicine,manual,1.000
Cardio Thoracic Surgery,Cardio Thoracic Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
arthroscopySportsInjury,Arthroscopy Sports Injury,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
haematologyAndHaematoncology,Haematology and Haematoncology,Oncology & Hematology,normalized_exact,1.000
pediatricOrthopaedicSurgery,Pediatric Orthopaedic Surgery,Pediatrics & Neonatology,normalized_exact,1.000
paediatricOrthopaedicSurgery,Paediatric Orthopaedic Surgery,Pediatrics & Neonatology,normalized_exact,1.000
Neonatology,Neonatology,Pediatrics & Neonatology,normalized_exact,1.000
clinicalNutrition,Clinical Nutrition,Nutrition & Dietetics,normalized_exact,1.000
oculoplastyAndOcularOncology,Oculoplasty and Ocular Oncology,Oncology & Hematology,normalized_exact,1.000
cardiothoracicVascularSurgery,Cardiothoracic Vascular Surgery,Cardiology & Cardiothoracic,normalized_exact,1.000
dentalSurgery,Dental Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Maxillofacial Surgery,Maxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Gynaecology,Gynecology,"Obstetrics, Gynecology & Fertility",manual,1.000
interventionalPulmonology,Interventional Pulmonology,Pulmonology & Respiratory,normalized_exact,1.000
Surgical Gastroenterology,Surgical Gastroenterology,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
paediatricCare,Paediatric Care,Pediatrics & Neonatology,normalized_exact,1.000
OncologistCancer Specialist,Oncologist Cancer Specialist,Oncology & Hematology,normalized_exact,1.000
psychologicalMedicine,Psychological Medicine,Mental Health & Behavioral,normalized_exact,1.000
nephrologyurology,Nephrologyurology,"Urology, Nephrology & Transplant",normalized_exact,1.000
obgy,Obgy,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
nonInvasiveCardiologyCentre,Non Invasive Cardiology Centre,Cardiology & Cardiothoracic,normalized_exact,1.000
pediatricOncologyAndHematologyCentre,Pediatric Oncology and Hematology Centre,Pediatrics & Neonatology,normalized_exact,1.000
metabolicAndBariatricSurgery,Metabolic and Bariatric Surgery,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
forensicPsychiatry,Forensic Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
urogynaecologyAndReconstructivePelvisSurgery,Urogynaecology and Reconstructive Pelvis Surgery,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
boneMarrowTransplants,Bone Marrow Transplants,Oncology & Hematology,normalized_exact,1.000
ayurveda,Ayurveda,Alternative & Integrative Medicine,normalized_exact,1.000
pulmonary,Pulmonary,Pulmonology & Respiratory,normalized_exact,1.000
preventiveDentalCare,Preventive Dental Care,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Whipple Specimen,Whipple Specimen,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
oculoplasticSurgery,Oculoplastic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
distractionOsteogenesis,Distraction Osteogenesis,Other / Needs Review,normalized_exact,1.000
Ophthalmology,Ophthalmology,Ophthalmology,normalized_exact,1.000
keyholeArthroscopy,Keyhole Arthroscopy,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Urooncology,Urooncology,Oncology & Hematology,normalized_exact,1.000
headAndNeckOncologicSurgery,Head and Neck Oncologic Surgery,Oncology & Hematology,normalized_exact,1.000
footAndAnkleSurgery,Foot and Ankle Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
vascularDiseases,Vascular Diseases,Vascular & Endovascular,normalized_exact,1.000
ShalakyaTantra,Shalakya Tantra,Alternative & Integrative Medicine,normalized_exact,1.000
laproscopicUrology,Laproscopic Urology,"Urology, Nephrology & Transplant",normalized_exact,1.000
Prosthodontics,Prosthodontics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Oral Pathology,Oral Pathology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
dentalMaxillofacial,Dental Maxillofacial,"Dental, Oral & Maxillofacial",normalized_exact,1.000
obesity,Obesity,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
emergencyPsychiatry,Emergency Psychiatry,"Emergency, Trauma & Critical Care",normalized_exact,1.000
immunotherapy,Immunotherapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
prosthodonticsAndImplantology,Prosthodontics and Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pulmonaryAndSleepMedicine,Pulmonary and Sleep Medicine,Pulmonology & Respiratory,normalized_exact,1.000
histopathologyLaboratory,Histopathology Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
parasitologyLaboratory,Parasitology Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
specialSerology,Special Serology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
menstrualProblems,Menstrual Problems,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Joint Replacement,Joint Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
nephrologyAndRenalScience,Nephrology and Renal Science,"Urology, Nephrology & Transplant",normalized_exact,1.000
advancedPathology,Advanced Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
Refractive Surgeries,Refractive Surgeries,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
pediatricsNeonatology,Pediatrics Neonatology,Pediatrics & Neonatology,normalized_exact,1.000
Micro Biology,Micro Biology,Other / Needs Review,normalized_exact,1.000
clinicalLaboratory,Clinical Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
OBG,Obg,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
cardiacDiagnostics,Cardiac Diagnostics,Cardiology & Cardiothoracic,normalized_exact,1.000
PHYSIOTHERAPIST,Physiotherapist,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
prosthodontics  Implantology,Prosthodontics Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
respiratoryMedicineAndInterventionalPulmonology,Respiratory Medicine and Interventional Pulmonology,Pulmonology & Respiratory,normalized_exact,1.000
transPRKSurgery,Trans Prk Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
keratoconusTreatmentDoctors,Keratoconus Treatment Doctors,Ophthalmology,normalized_exact,1.000
Retinal Laser,Retinal Laser,Ophthalmology,normalized_exact,1.000
teethReplacement,Teeth Replacement,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Paediatric Surgery,Paediatric Surgery,Pediatrics & Neonatology,normalized_exact,1.000
endoscopicMinimallyInvasiveNeurosurgery,Endoscopic Minimally Invasive Neurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
paediatricPsychiatry,Paediatric Psychiatry,Pediatrics & Neonatology,normalized_exact,1.000
diagnosticEndocrinology,Diagnostic Endocrinology,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
fertilityClinic,Fertility Clinic,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
cosmetics,Cosmetics,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
bracesTreatment,Braces Treatment,"Dental, Oral & Maxillofacial",normalized_exact,1.000
TMJ disorder,Tmj Disorder,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Bridges,Bridges,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Pediatric Dentistry,Pediatric Dentistry,Pediatrics & Neonatology,normalized_exact,1.000
Soft Tissue Grafting,Soft Tissue Grafting,Other / Needs Review,normalized_exact,1.000
prostateDiseaseManagement,Prostate Disease Management,"Urology, Nephrology & Transplant",normalized_exact,1.000
Periodontics Plastic Surgery,Periodontics Plastic Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
boneAndJointCentre,Bone and Joint Centre,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
pcrTesting,Pcr Testing,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
interventionalPulmonologyAndChestMedicine,Interventional Pulmonology and Chest Medicine,Pulmonology & Respiratory,normalized_exact,1.000
Pediatrics  Neonatology,Pediatrics Neonatology,Pediatrics & Neonatology,normalized_exact,1.000
nutritionalAssessment,Nutritional Assessment,Nutrition & Dietetics,normalized_exact,1.000
obstetrics,Obstetrics,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
andrologist,Andrologist,Other / Needs Review,normalized_exact,1.000
cardiacElectroPhysiologist,Cardiac Electro Physiologist,Cardiology & Cardiothoracic,normalized_exact,1.000
otologyAndNeurotology,Otology and Neurotology,Neurology & Neurosurgery,normalized_exact,1.000
palateSurgery,Palate Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Spine  Deformity Connections,Spine Deformity Connections,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
fetalMedicineAndRadiology,Fetal Medicine and Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
neonatalPediatricSurgery,Neonatal Pediatric Surgery,Pediatrics & Neonatology,normalized_exact,1.000
pgta,Pgta,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
TESA,Tesa,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
kneeSurgery,Knee Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Orthodontics And Clear Aligners,Orthodontics and Clear Aligners,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Periodontology And Implantology,Periodontology and Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
dentalLaserTreatment,Dental Laser Treatment,"Dental, Oral & Maxillofacial",normalized_exact,1.000
headAndNeckSurgery,Head and Neck Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
teethWhitening,Teeth Whitening,"Dental, Oral & Maxillofacial",normalized_exact,1.000
sleepingDentistry,Sleeping Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
dentalBridges,Dental Bridges,"Dental, Oral & Maxillofacial",normalized_exact,1.000
periodontalGumCare,Periodontal Gum Care,"Dental, Oral & Maxillofacial",normalized_exact,1.000
electroconvulsiveTherapy,Electroconvulsive Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
eyeCare,Eye Care,Ophthalmology,normalized_exact,1.000
dermatologyvenereology,Dermatologyvenereology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
oralCancerScreenings,Oral Cancer Screenings,Oncology & Hematology,normalized_exact,1.000
rootCanalTreatment,Root Canal Treatment,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Neurolysis Surgery,Neurolysis Surgery,Neurology & Neurosurgery,normalized_exact,1.000
MICS  Cataract,Mics Cataract,Ophthalmology,normalized_exact,1.000
All on 46 implant,All On 46 Implant,"Dental, Oral & Maxillofacial",normalized_exact,1.000
transfusionMedicineAndBloodBank,Transfusion Medicine and Blood Bank,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
developmentalBehaviorPediatrics,Developmental Behavior Pediatrics,Pediatrics & Neonatology,normalized_exact,1.000
InvisalignOrthodontics,Invisalign Orthodontics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
femaleInfertilityTreatment,Female Infertility Treatment,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Stem Cell Transplant,Stem Cell Transplant,"Urology, Nephrology & Transplant",normalized_exact,1.000
Cancer Surgery,Cancer Surgery,Oncology & Hematology,normalized_exact,1.000
Full Mouth Rehabilitation,Full Mouth Rehabilitation,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Hair Fall Treatment,Hair Fall Treatment,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
cardiacScience,Cardiac Science,Cardiology & Cardiothoracic,normalized_exact,1.000
bridgesAndCrowns,Bridges and Crowns,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Head And Neck Oncosurgery,Head and Neck Oncosurgery,Oncology & Hematology,normalized_exact,1.000
HepatobiliarySurgery,Hepatobiliary Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
oralCancer,Oral Cancer,Oncology & Hematology,normalized_exact,1.000
inlaysAndOnlays,Inlays and Onlays,Other / Needs Review,normalized_exact,1.000
facial,Facial,Other / Needs Review,normalized_exact,1.000
functionalNeurologicalDisorder,Functional Neurological Disorder,Neurology & Neurosurgery,normalized_exact,1.000
mentalHealthCounseling,Mental Health Counseling,Mental Health & Behavioral,normalized_exact,1.000
Low Back pain,Low Back Pain,Anesthesia & Pain Medicine,normalized_exact,1.000
Respiratory Diseases Management,Respiratory Diseases Management,Pulmonology & Respiratory,normalized_exact,1.000
Prosthodontoics,Prosthodontoics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
miniImplants,Mini Implants,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pediatricHeadInjuryAndBurns,Pediatric Head Injury and Burns,Pediatrics & Neonatology,normalized_exact,1.000
prosthodonticsCrownBridgeImplantology,Prosthodontics Crown Bridge Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
andrologyAndUroOncology,Andrology and Uro Oncology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
gallStoneSurgery,Gall Stone Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
wisdomToothRemoval,Wisdom Tooth Removal,"Dental, Oral & Maxillofacial",normalized_exact,1.000
craniofacialAndCleftOralMaxillofacialSurgery,Craniofacial and Cleft Oral Maxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
paediatricNeurology,Paediatric Neurology,Pediatrics & Neonatology,normalized_exact,1.000
organTransplant,Organ Transplant,"Urology, Nephrology & Transplant",normalized_exact,1.000
endocrinologyAndDiabetesAndMetabolism,Endocrinology and Diabetes and Metabolism,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
nuclearMedicine,Nuclear Medicine,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
generalMedicine,General Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
dentalAnesthesia,Dental Anesthesia,"Dental, Oral & Maxillofacial",normalized_exact,1.000
clinicalPathology,Clinical Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
audiology,Audiology,"ENT, Head & Neck",normalized_exact,1.000
endocrineSurgery,Endocrine Surgery,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
Gastrointestinal  Hepatobiliary Oncology,Gastrointestinal Hepatobiliary Oncology,Oncology & Hematology,normalized_exact,1.000
pediatricNeurodevelopmentalDisabilities,Pediatric Neurodevelopmental Disabilities,Pediatrics & Neonatology,normalized_exact,1.000
polytrauma,Polytrauma,"Emergency, Trauma & Critical Care",normalized_exact,1.000
interventionalCardiologyCentre,Interventional Cardiology Centre,Cardiology & Cardiothoracic,normalized_exact,1.000
pediatricCriticalCareMedicine,Pediatric Critical Care Medicine,"Emergency, Trauma & Critical Care",normalized_exact,1.000
orthopedicSpineSurgery,Orthopedic Spine Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
pediatricAllergyAndImmunology,Pediatric Allergy and Immunology,Pediatrics & Neonatology,normalized_exact,1.000
vascularEndovascularSurgery,Vascular Endovascular Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
dentoalveolarSurgery,Dentoalveolar Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
endocrinologyAndMetabolism,Endocrinology and Metabolism,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
neuroMedicine,Neuro Medicine,Neurology & Neurosurgery,normalized_exact,1.000
retinopathyOfPrematurity,Retinopathy of Prematurity,Ophthalmology,normalized_exact,1.000
podiatricDiabeticLimbSalvageAndWoundCare,Podiatric Diabetic Limb Salvage and Wound Care,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
pediatricHepatology,Pediatric Hepatology,Pediatrics & Neonatology,normalized_exact,1.000
familyPlanningAndContraception,Family Planning and Contraception,Other / Needs Review,normalized_exact,1.000
neuroIntervention,Neuro Intervention,Neurology & Neurosurgery,normalized_exact,1.000
Family Medicine,Family Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
General Medicine,General Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
visionTherapy,Vision Therapy,Ophthalmology,normalized_exact,1.000
gastrointestinalAndLaparoscopicSurgery,Gastrointestinal and Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
