specialty_clean,specialty,category,match_method,match_score
respiratoryAndSleepMedicine,Respiratory and Sleep Medicine,Pulmonology & Respiratory,normalized_exact,1.000
metabolicdisorder,Metabolicdisorder,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
podiary,Podiary,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
cardiacAnesthesiology,Cardiac Anesthesiology,Cardiology & Cardiothoracic,normalized_exact,1.000
earNoseThroat,Ear Nose Throat,"ENT, Head & Neck",normalized_exact,1.000
endoscopicGynaecology,Endoscopic Gynaecology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
periodontologyAndOralImplantology,Periodontology and Oral Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pediatricAndPreventiveDentistry,Pediatric and Preventive Dentistry,Pediatrics & Neonatology,normalized_exact,1.000
conservativeDentistryAndEndodontics,Conservative Dentistry and Endodontics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
antenatalAndPostnatalCare,Antenatal and Postnatal Care,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Cosmetic and Plastic Surgery,Cosmetic and Plastic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
eyeBank,Eye Bank,Ophthalmology,normalized_exact,1.000
pediatricAdolescentEndocrinology,Pediatric Adolescent Endocrinology,Pediatrics & Neonatology,normalized_exact,1.000
erectileDysfunction,Erectile Dysfunction,"Urology, Nephrology & Transplant",normalized_exact,1.000
CARDIOLOGY  ENT,Cardiology ENT,Cardiology & Cardiothoracic,normalized_exact,1.000
PHYSICIAN,Physician,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
transfusionTherapy,Transfusion Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
childrenDentistry,Children Dentistry,Pediatrics & Neonatology,normalized_exact,1.000
bacteriology,Bacteriology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
Magnet Therapy,Magnet Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Transfusion Medicine,Transfusion Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
paediatricOrthopaedic,Paediatric Orthopaedic,Pediatrics & Neonatology,normalized_exact,1.000
stemCellTherapy,Stem Cell Therapy,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
